threshold,crossing_count,total_time_samples,crossing_fraction,snr_db,modulation,feature,direction
9.303194929088932e-06,128000,128000,1.0,-4,QAM16,raw_amplitude,>=
0.001554669503138939,124178,128000,0.970140625,-4,QAM16,raw_amplitude,>=
0.003100035811348789,113612,128000,0.88759375,-4,QAM16,raw_amplitude,>=
0.004645402119558639,97587,128000,0.7623984375,-4,QAM16,raw_amplitude,>=
0.006190768427768489,78967,128000,0.6169296875,-4,QAM16,raw_amplitude,>=
0.0077361347359783394,60022,128000,0.468921875,-4,QAM16,raw_amplitude,>=
0.009281501044188189,42594,128000,0.332765625,-4,QAM16,raw_amplitude,>=
0.01082686735239804,28068,128000,0.21928125,-4,QAM16,raw_amplitude,>=
0.01237223366060789,17316,128000,0.13528125,-4,QAM16,raw_amplitude,>=
0.013917599968817739,9932,128000,0.07759375,-4,QAM16,raw_amplitude,>=
0.01546296627702759,5271,128000,0.0411796875,-4,QAM16,raw_amplitude,>=
0.01700833258523744,2641,128000,0.0206328125,-4,QAM16,raw_amplitude,>=
0.01855369889344729,1218,128000,0.009515625,-4,QAM16,raw_amplitude,>=
0.020099065201657138,505,128000,0.0039453125,-4,QAM16,raw_amplitude,>=
0.02164443150986699,206,128000,0.001609375,-4,QAM16,raw_amplitude,>=
0.02318979781807684,70,128000,0.000546875,-4,QAM16,raw_amplitude,>=
0.02473516412628669,27,128000,0.0002109375,-4,QAM16,raw_amplitude,>=
0.02628053043449654,11,128000,8.59375e-05,-4,QAM16,raw_amplitude,>=
0.02782589674270639,3,128000,2.34375e-05,-4,QAM16,raw_amplitude,>=
0.02937126305091624,1,128000,7.8125e-06,-4,QAM16,raw_amplitude,>=
9.303194929088932e-06,128000,128000,1.0,-4,QAM64,raw_amplitude,>=
0.001554669503138939,124216,128000,0.9704375,-4,QAM64,raw_amplitude,>=
0.003100035811348789,113618,128000,0.887640625,-4,QAM64,raw_amplitude,>=
0.004645402119558639,97649,128000,0.7628828125,-4,QAM64,raw_amplitude,>=
0.006190768427768489,78845,128000,0.6159765625,-4,QAM64,raw_amplitude,>=
0.0077361347359783394,59789,128000,0.4671015625,-4,QAM64,raw_amplitude,>=
0.009281501044188189,42397,128000,0.3312265625,-4,QAM64,raw_amplitude,>=
0.01082686735239804,28232,128000,0.2205625,-4,QAM64,raw_amplitude,>=
0.01237223366060789,17399,128000,0.1359296875,-4,QAM64,raw_amplitude,>=
0.013917599968817739,10070,128000,0.078671875,-4,QAM64,raw_amplitude,>=
0.01546296627702759,5339,128000,0.0417109375,-4,QAM64,raw_amplitude,>=
0.01700833258523744,2661,128000,0.0207890625,-4,QAM64,raw_amplitude,>=
0.01855369889344729,1222,128000,0.009546875,-4,QAM64,raw_amplitude,>=
0.020099065201657138,526,128000,0.004109375,-4,QAM64,raw_amplitude,>=
0.02164443150986699,227,128000,0.0017734375,-4,QAM64,raw_amplitude,>=
0.02318979781807684,74,128000,0.000578125,-4,QAM64,raw_amplitude,>=
0.02473516412628669,34,128000,0.000265625,-4,QAM64,raw_amplitude,>=
0.02628053043449654,12,128000,9.375e-05,-4,QAM64,raw_amplitude,>=
0.02782589674270639,6,128000,4.6875e-05,-4,QAM64,raw_amplitude,>=
0.02937126305091624,3,128000,2.34375e-05,-4,QAM64,raw_amplitude,>=
1.0681346793717239e-05,128000,128000,1.0,-2,QAM16,raw_amplitude,>=
0.0014237873799629597,125114,128000,0.977453125,-2,QAM16,raw_amplitude,>=
0.002836893413132202,116700,128000,0.91171875,-2,QAM16,raw_amplitude,>=
0.0042499994463014446,103660,128000,0.80984375,-2,QAM16,raw_amplitude,>=
0.005663105479470687,87268,128000,0.68178125,-2,QAM16,raw_amplitude,>=
0.007076211512639929,69567,128000,0.5434921875,-2,QAM16,raw_amplitude,>=
0.008489317545809172,51942,128000,0.405796875,-2,QAM16,raw_amplitude,>=
0.009902423578978414,36039,128000,0.2815546875,-2,QAM16,raw_amplitude,>=
0.011315529612147657,23416,128000,0.1829375,-2,QAM16,raw_amplitude,>=
0.0127286356453169,14043,128000,0.1097109375,-2,QAM16,raw_amplitude,>=
0.014141741678486142,7900,128000,0.06171875,-2,QAM16,raw_amplitude,>=
0.015554847711655384,3984,128000,0.031125,-2,QAM16,raw_amplitude,>=
0.016967953744824626,1895,128000,0.0148046875,-2,QAM16,raw_amplitude,>=
0.01838105977799387,793,128000,0.0061953125,-2,QAM16,raw_amplitude,>=
0.01979416581116311,331,128000,0.0025859375,-2,QAM16,raw_amplitude,>=
0.021207271844332354,117,128000,0.0009140625,-2,QAM16,raw_amplitude,>=
0.022620377877501596,32,128000,0.00025,-2,QAM16,raw_amplitude,>=
0.02403348391067084,13,128000,0.0001015625,-2,QAM16,raw_amplitude,>=
0.02544658994384008,5,128000,3.90625e-05,-2,QAM16,raw_amplitude,>=
0.026859695977009324,2,128000,1.5625e-05,-2,QAM16,raw_amplitude,>=
1.0681346793717239e-05,128000,128000,1.0,-2,QAM64,raw_amplitude,>=
0.0014237873799629597,125013,128000,0.9766640625,-2,QAM64,raw_amplitude,>=
0.002836893413132202,116516,128000,0.91028125,-2,QAM64,raw_amplitude,>=
0.0042499994463014446,103297,128000,0.8070078125,-2,QAM64,raw_amplitude,>=
0.005663105479470687,87158,128000,0.680921875,-2,QAM64,raw_amplitude,>=
0.007076211512639929,69422,128000,0.542359375,-2,QAM64,raw_amplitude,>=
0.008489317545809172,51971,128000,0.4060234375,-2,QAM64,raw_amplitude,>=
0.009902423578978414,36156,128000,0.28246875,-2,QAM64,raw_amplitude,>=
0.011315529612147657,23476,128000,0.18340625,-2,QAM64,raw_amplitude,>=
0.0127286356453169,14214,128000,0.111046875,-2,QAM64,raw_amplitude,>=
0.014141741678486142,8051,128000,0.0628984375,-2,QAM64,raw_amplitude,>=
0.015554847711655384,4117,128000,0.0321640625,-2,QAM64,raw_amplitude,>=
0.016967953744824626,1979,128000,0.0154609375,-2,QAM64,raw_amplitude,>=
0.01838105977799387,859,128000,0.0067109375,-2,QAM64,raw_amplitude,>=
0.01979416581116311,355,128000,0.0027734375,-2,QAM64,raw_amplitude,>=
0.021207271844332354,139,128000,0.0010859375,-2,QAM64,raw_amplitude,>=
0.022620377877501596,44,128000,0.00034375,-2,QAM64,raw_amplitude,>=
0.02403348391067084,17,128000,0.0001328125,-2,QAM64,raw_amplitude,>=
0.02544658994384008,6,128000,4.6875e-05,-2,QAM64,raw_amplitude,>=
0.026859695977009324,0,128000,0.0,-2,QAM64,raw_amplitude,>=
8.001773039723048e-07,128000,128000,1.0,0,QAM16,raw_amplitude,>=
0.001309447758501392,125847,128000,0.9831796875,0,QAM16,raw_amplitude,>=
0.0026180953396988116,119485,128000,0.9334765625,0,QAM16,raw_amplitude,>=
0.003926742920896231,109104,128000,0.852375,0,QAM16,raw_amplitude,>=
0.005235390502093651,95504,128000,0.746125,0,QAM16,raw_amplitude,>=
0.0065440380832910705,79283,128000,0.6193984375,0,QAM16,raw_amplitude,>=
0.00785268566448849,61678,128000,0.481859375,0,QAM16,raw_amplitude,>=
0.00916133324568591,44524,128000,0.34784375,0,QAM16,raw_amplitude,>=
