snr_db,modulation,time_index,mean_raw_amplitude,std_raw_amplitude
-4,QAM16,0,0.00788795668631792,0.003910251427441835
-4,QAM16,1,0.008005897514522076,0.003993835300207138
-4,QAM16,2,0.007943827658891678,0.004147936590015888
-4,QAM16,3,0.007753079291433096,0.003987325355410576
-4,QAM16,4,0.007936506532132626,0.004044093657284975
-4,QAM16,5,0.007813042029738426,0.004120540339499712
-4,QAM16,6,0.00776722701266408,0.004015486221760511
-4,QAM16,7,0.008035614155232906,0.0041324845515191555
-4,QAM16,8,0.007901052013039589,0.0038930438458919525
-4,QAM16,9,0.00773827126249671,0.003919138107448816
-4,QAM16,10,0.007902763783931732,0.0038885963149368763
-4,QAM16,11,0.007768960669636726,0.0038253723178058863
-4,QAM16,12,0.0077678184024989605,0.003934903535991907
-4,QAM16,13,0.008010102435946465,0.0038279842119663954
-4,QAM16,14,0.007682031486183405,0.0038169436156749725
-4,QAM16,15,0.007852843962609768,0.003961731214076281
-4,QAM16,16,0.007791025098413229,0.004024740308523178
-4,QAM16,17,0.007971903309226036,0.004055704455822706
-4,QAM16,18,0.0078024109825491905,0.004053930751979351
-4,QAM16,19,0.007956000976264477,0.004009633790701628
-4,QAM16,20,0.007639596238732338,0.003870996879413724
-4,QAM16,21,0.007685200311243534,0.003923909738659859
-4,QAM16,22,0.007636014372110367,0.004044173751026392
-4,QAM16,23,0.00794191099703312,0.0041555119678378105
-4,QAM16,24,0.007863299921154976,0.0039653657004237175
-4,QAM16,25,0.007743448950350285,0.0040050083771348
-4,QAM16,26,0.007498862221837044,0.004027816001325846
-4,QAM16,27,0.007874559611082077,0.004132487345486879
-4,QAM16,28,0.00783143937587738,0.003997982945293188
-4,QAM16,29,0.007825074717402458,0.004067019559442997
-4,QAM16,30,0.0077254390344023705,0.004020303953438997
-4,QAM16,31,0.0077658966183662415,0.004027980845421553
-4,QAM16,32,0.007957887835800648,0.00392801221460104
-4,QAM16,33,0.007959551177918911,0.00399363599717617
-4,QAM16,34,0.00782372709363699,0.0039979214780032635
-4,QAM16,35,0.007808089721947908,0.003973810933530331
-4,QAM16,36,0.007773181889206171,0.004004066810011864
-4,QAM16,37,0.007837299257516861,0.004001535475254059
