snr_db,modulation,bin_left,bin_right,bin_center,mean_density,std_density_across_windows
-4,QAM16,0.0,0.03412601314013517,0.017063006570067586,0.025483649224042892,0.07777025550603867
-4,QAM16,0.03412601314013517,0.06825202628027034,0.05118901971020276,0.07592602074146271,0.13083960115909576
-4,QAM16,0.06825202628027034,0.10237803942040552,0.08531503285033792,0.14366795122623444,0.18711721897125244
-4,QAM16,0.10237803942040552,0.13650405256054068,0.1194410459904731,0.17990191280841827,0.20518213510513306
-4,QAM16,0.13650405256054068,0.17063006570067585,0.15356705913060825,0.22210611402988434,0.2321043759584427
-4,QAM16,0.17063006570067585,0.20475607884081104,0.18769307227074344,0.2826814353466034,0.26198816299438477
-4,QAM16,0.20475607884081104,0.2388820919809462,0.22181908541087864,0.3191416561603546,0.25595027208328247
-4,QAM16,0.2388820919809462,0.27300810512108137,0.25594509855101377,0.34985804557800293,0.28606152534484863
-4,QAM16,0.27300810512108137,0.30713411826121656,0.29007111169114896,0.4105236530303955,0.29985398054122925
-4,QAM16,0.30713411826121656,0.3412601314013517,0.32419712483128416,0.4632626473903656,0.3073235750198364
-4,QAM16,0.3412601314013517,0.3753861445414869,0.3583231379714193,0.497795432806015,0.33234885334968567
-4,QAM16,0.3753861445414869,0.4095121576816221,0.3924491511115545,0.53804612159729,0.33257362246513367
-4,QAM16,0.4095121576816221,0.4436381708217572,0.4265751642516896,0.5651367902755737,0.3511371314525604
-4,QAM16,0.4436381708217572,0.4777641839618924,0.4607011773918248,0.6125923991203308,0.37857770919799805
-4,QAM16,0.4777641839618924,0.5118901971020275,0.49482719053196,0.6275491118431091,0.36912602186203003
-4,QAM16,0.5118901971020275,0.5460162102421627,0.5289532036720952,0.6692913770675659,0.3913920223712921
-4,QAM16,0.5460162102421627,0.5801422233822979,0.5630792168122303,0.7007351517677307,0.4033803343772888
-4,QAM16,0.5801422233822979,0.6142682365224331,0.5972052299523656,0.7043811678886414,0.40286898612976074
-4,QAM16,0.6142682365224331,0.6483942496625682,0.6313312430925007,0.7133978605270386,0.40073543787002563
-4,QAM16,0.6483942496625682,0.6825202628027034,0.6654572562326357,0.719045877456665,0.3810756802558899
-4,QAM16,0.6825202628027034,0.7166462759428386,0.699583269372771,0.7316107749938965,0.4159439206123352
