snr_db,modulation,bin_id,bin_left,bin_right,bin_center,count
-4,QAM16,1,-3.1415634155273438,-2.82740832567215,-2.984485870599747,6400
-4,QAM16,2,-2.82740832567215,-2.5132532358169555,-2.6703307807445524,6312
-4,QAM16,3,-2.5132532358169555,-2.1990981459617616,-2.3561756908893585,6284
-4,QAM16,4,-2.1990981459617616,-1.8849430561065674,-2.0420206010341646,6305
-4,QAM16,5,-1.8849430561065674,-1.5707879662513733,-1.7278655111789702,6520
-4,QAM16,6,-1.5707879662513733,-1.2566328763961794,-1.4137104213237763,6411
-4,QAM16,7,-1.2566328763961794,-0.942477786540985,-1.0995553314685822,6511
-4,QAM16,8,-0.942477786540985,-0.6283226966857911,-0.7854002416133881,6284
-4,QAM16,9,-0.6283226966857911,-0.3141676068305972,-0.47124515175819415,6259
-4,QAM16,10,-0.3141676068305972,-1.2516975402832031e-05,-0.157090061903,6320
-4,QAM16,11,-1.2516975402832031e-05,0.3141425728797911,0.15706502795219413,6204
-4,QAM16,12,0.3141425728797911,0.628297662734985,0.47122011780738804,6341
-4,QAM16,13,0.628297662734985,0.9424527525901789,0.785375207662582,6453
-4,QAM16,14,0.9424527525901789,1.2566078424453737,1.0995302975177763,6545
-4,QAM16,15,1.2566078424453737,1.5707629323005676,1.4136853873729707,6473
-4,QAM16,16,1.5707629323005676,1.8849180221557615,1.7278404772281646,6471
-4,QAM16,17,1.8849180221557615,2.1990731120109555,2.0419955670833585,6325
-4,QAM16,18,2.1990731120109555,2.5132282018661494,2.3561506569385524,6522
-4,QAM16,19,2.5132282018661494,2.827383291721344,2.6703057467937468,6638
-4,QAM16,20,2.827383291721344,3.141538381576538,2.984460836648941,6422
-4,QAM64,1,-3.1415634155273438,-2.82740832567215,-2.984485870599747,6283
-4,QAM64,2,-2.82740832567215,-2.5132532358169555,-2.6703307807445524,6263
-4,QAM64,3,-2.5132532358169555,-2.1990981459617616,-2.3561756908893585,6265
-4,QAM64,4,-2.1990981459617616,-1.8849430561065674,-2.0420206010341646,6313
-4,QAM64,5,-1.8849430561065674,-1.5707879662513733,-1.7278655111789702,6284
-4,QAM64,6,-1.5707879662513733,-1.2566328763961794,-1.4137104213237763,6383
-4,QAM64,7,-1.2566328763961794,-0.942477786540985,-1.0995553314685822,6419
-4,QAM64,8,-0.942477786540985,-0.6283226966857911,-0.7854002416133881,6287
-4,QAM64,9,-0.6283226966857911,-0.3141676068305972,-0.47124515175819415,6410
-4,QAM64,10,-0.3141676068305972,-1.2516975402832031e-05,-0.157090061903,6204
-4,QAM64,11,-1.2516975402832031e-05,0.3141425728797911,0.15706502795219413,6496
-4,QAM64,12,0.3141425728797911,0.628297662734985,0.47122011780738804,6335
-4,QAM64,13,0.628297662734985,0.9424527525901789,0.785375207662582,6329
-4,QAM64,14,0.9424527525901789,1.2566078424453737,1.0995302975177763,6579
